date,open,high,low,close,volume,split,dividend,absoluteChange,percentChange
1/10/2016 0:00,448.84,449.89,440.8,448.79,4078.61,,,,
1/11/2016 0:00,448.2,451.13,438,448,7986.46,,,,
1/12/2016 0:00,448,448,434.35,434.85,6930.9,,,,
1/13/2016 0:00,434.78,438.35,424.5,432.64,10067.02,,,,
1/14/2016 0:00,432.64,434,427,429.55,4420.91,,,,
1/15/2016 0:00,429.55,429.8,360,360,37326.7,,,,
1/16/2016 0:00,360.62,392.07,352,386.91,25019.25,,,,
1/17/2016 0:00,387.8,391.14,376,380.16,8416.94,,,,
1/18/2016 0:00,379.94,388.5,373.63,385.49,7015.53,,,,
1/19/2016 0:00,385.47,386.92,375.59,376.76,7223,,,,
1/20/2016 0:00,376.9,422.98,372.53,416.32,25172.92,,,,
1/21/2016 0:00,418.9,421.25,404.59,409.59,9414.56,,,,
1/22/2016 0:00,409.42,410.07,374.45,382.55,14744.76,,,,
1/23/2016 0:00,382.85,395,381.05,386.4,7664.89,,,,
1/24/2016 0:00,386.37,405.97,385.36,402.16,5448.85,,,,
1/25/2016 0:00,402.16,402.31,385.5,390.9,8040.83,,,,
1/26/2016 0:00,390.1,397.7,386.2,391.77,6589.15,,,,
1/27/2016 0:00,391.77,397,390.31,394.95,4262.63,,,,
1/28/2016 0:00,394.62,395.56,376,379.75,11414.05,,,,
1/29/2016 0:00,379.55,383.99,363.73,378.22,13544.15,,,,
1/30/2016 0:00,378.12,380.42,372.95,375.64,2587.11,,,,
1/31/2016 0:00,376.38,379.3,364.7,368.49,4166.67,,,,
2/1/2016 0:00,368.49,378.2,366.53,371.81,7255.13,,,,
2/2/2016 0:00,371.79,375,369.73,373.05,5719.11,,,,
2/3/2016 0:00,373.05,374,365,368.38,7107.79,,,,
2/4/2016 0:00,368.4,391.88,367.95,387.82,13446.48,,,,
2/5/2016 0:00,388,389.5,382.99,385,7372.61,,,,
2/6/2016 0:00,384.97,384.98,371.35,375.39,5735.7,,,,
2/7/2016 0:00,375.39,380,373.04,375,2885.48,,,,
2/8/2016 0:00,375,378.99,369.99,370.91,6943.11,,,,
2/9/2016 0:00,370.95,377,369.12,373.2,5779.68,,,,
2/10/2016 0:00,373.69,383.85,372.12,379.66,10006.63,,,,
2/11/2016 0:00,379.34,380.5,373.54,377.98,7471.96,,,,
2/12/2016 0:00,377.98,383.48,377.07,383.27,5996.09,,,,
2/13/2016 0:00,383,390.99,382,390.99,7324.97,,,,
2/14/2016 0:00,390.99,406.71,390.59,405,9758.39,,,,
2/15/2016 0:00,405.5,409.71,393.4,399.28,7906.7,,,,
2/16/2016 0:00,399.5,407.8,396,407.51,8354.83,,,,
2/17/2016 0:00,407.51,421.11,404,415.54,11842.78,,,,
2/18/2016 0:00,415.59,424.9,413.4,421.18,8588.93,,,,
2/19/2016 0:00,421.15,422,414,419.54,5015.54,,,,
2/20/2016 0:00,419.98,443.96,419.5,434.63,11633.27,,,,
2/21/2016 0:00,434.63,447.99,426,438.5,10300.35,,,,
2/22/2016 0:00,438.33,439.5,431.15,438.27,5840.32,,,,
2/23/2016 0:00,438.26,440,414,419.1,10509.61,,,,
2/24/2016 0:00,419.1,424.28,409.07,423.78,7258.36,,,,
2/25/2016 0:00,423.79,426.75,415.79,423.51,5597.97,,,,
2/26/2016 0:00,423.38,432,418.01,432,4635.12,,,,
2/27/2016 0:00,432,435,428.22,431.07,4159.36,,,,
